*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (in), Eff Dist (in), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (in), Via Eff Dist (in), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
Grill,,Purchasedparts,100,D2,Forklift,Pallet,5,15000,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,R,Forklift,Pallet,5,15000,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,I,Forklift,Pallet,5,15000,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S1,Forklift,Pallet,5,15000,P,,,0,,,,,,127.8673,170.4898,1500,30,0.473582777777778,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,P,Forklift,Pallet,5,15000,S2,,,0,,,,,,36.7928,49.0571,1500,30,0.136269722222222,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S2,Forklift,Pallet,5,15000,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,Purchasedparts,100,S,Forklift,Pallet,5,15000,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
